Asset,Width,Height,TransparentPixels,PartialAlphaPixels,GreenSpillPixels,CenterLuminance
MainDashboard,1536,768,758,1148810,0,23.659
ManagerCard,1536,768,1507,1148223,0,25.294
ManagerReport,1536,1280,935,1929630,0,24.959
CompactStrip,1536,384,626,560752,0,25.374
Primary_Normal,768,144,132,3255,0,180.881
Primary_Hover,768,144,132,3255,0,199.038
Primary_Pressed,768,144,132,3255,0,159.148
Primary_Disabled,768,144,132,3255,0,119.575
Secondary_Normal,768,144,143,3271,0,47.090
Secondary_Hover,768,144,143,3271,0,51.882
Secondary_Pressed,768,144,143,3271,0,41.601
Secondary_Disabled,768,144,143,3271,0,45.137
Secondary_Selected,768,144,143,3271,0,51.264
Utility_Normal,128,128,46,279,0,41.081
Utility_Hover,128,128,46,279,0,45.191
Utility_Pressed,128,128,46,279,0,36.201
Utility_Disabled,128,128,46,279,0,30.033
ListItem_Normal,1536,160,350,6834,0,36.154
ListItem_Hover,1536,160,350,6834,0,39.690
ListItem_Selected,1536,160,350,6834,0,50.634
ListItem_Unread,1536,160,350,6834,0,37.535
ListItem_Disabled,1536,160,350,6834,0,46.095
Tab_Normal,512,8,5,3083,0,86.263
Tab_Hover,512,8,5,3083,0,223.492
Tab_Selected,512,8,5,3083,0,202.294
Tab_Disabled,512,8,5,3083,0,51.596
Badge_Count,96,96,1835,7092,0,87.163
Badge_Unread,32,32,185,104,0,99.879
Badge_Important,96,96,3059,6156,0,93.189
