workbookRow,year,team,name,variant,sourceUrl,attribute,reference,before,after,metricStatus
2,2008,SK,박재홍,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1109f.jpg,Contact,80,71,71,NormalExploratory
3,2008,SK,최정,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/2953f.jpg,Contact,81,75,75,NormalExploratory
6,2009,SK,정근우,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3704f.jpg,Contact,86,84,84,NormalExploratory
7,2009,SK,박재상,All Star,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/4214f.jpg,Contact,79,60,60,ExcludedVariant
8,2009,SK,나주환,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3398f.jpg,Contact,76,55,55,NormalExploratory
12,2008,두산,김현수,EX,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/764f.jpg,Contact,85,90,90,ExcludedVariant
13,2008,두산,김동주,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/333f.jpg,Contact,78,67,67,NormalExploratory
14,2008,두산,홍성흔,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3135f.jpg,Contact,81,76,76,NormalExploratory
18,2010,두산,이종욱,Normal,https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/4442f.jpg,Contact,84,67,67,NormalExploratory
19,2010,두산,최준석,Normal,https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/4458f.jpg,Contact,84,71,71,NormalExploratory
20,2010,두산,김현수,특수 아이콘(종류 미확정),https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/4406f.jpg,Contact,84,71,71,ExcludedVariant
24,1994,LG,김재현,특수 아이콘(종류 미확정),https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/9924f.jpg,Contact,79,63,63,ExcludedVariant
25,1994,LG,유지현,특수 아이콘(종류 미확정),https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/9939f.jpg,Contact,83,,,UnresolvedIdentity
26,1994,LG,서용빈,특수 아이콘(종류 미확정),https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/9935f.jpg,Contact,84,75,75,ExcludedVariant
2,2008,SK,박재홍,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1109f.jpg,Power,77,85,85,NormalExploratory
3,2008,SK,최정,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/2953f.jpg,Power,70,69,69,NormalExploratory
6,2009,SK,정근우,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3704f.jpg,Power,68,54,54,NormalExploratory
7,2009,SK,박재상,All Star,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/4214f.jpg,Power,72,59,59,ExcludedVariant
8,2009,SK,나주환,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3398f.jpg,Power,71,55,55,NormalExploratory
12,2008,두산,김현수,EX,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/764f.jpg,Power,68,70,70,ExcludedVariant
13,2008,두산,김동주,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/333f.jpg,Power,76,79,79,NormalExploratory
14,2008,두산,홍성흔,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3135f.jpg,Power,66,59,59,NormalExploratory
18,2010,두산,이종욱,Normal,https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/4442f.jpg,Power,62,45,45,NormalExploratory
19,2010,두산,최준석,Normal,https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/4458f.jpg,Power,82,77,77,NormalExploratory
20,2010,두산,김현수,특수 아이콘(종류 미확정),https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/4406f.jpg,Power,83,81,81,ExcludedVariant
24,1994,LG,김재현,특수 아이콘(종류 미확정),https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/9924f.jpg,Power,81,88,88,ExcludedVariant
25,1994,LG,유지현,특수 아이콘(종류 미확정),https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/9939f.jpg,Power,78,,,UnresolvedIdentity
26,1994,LG,서용빈,특수 아이콘(종류 미확정),https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/9935f.jpg,Power,64,53,53,ExcludedVariant
2,2008,SK,박재홍,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1109f.jpg,Speed,61,45,53,NormalExploratory
3,2008,SK,최정,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/2953f.jpg,Speed,74,67,68,NormalExploratory
6,2009,SK,정근우,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3704f.jpg,Speed,80,92,90,NormalExploratory
7,2009,SK,박재상,All Star,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/4214f.jpg,Speed,77,89,75,ExcludedVariant
8,2009,SK,나주환,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3398f.jpg,Speed,70,67,69,NormalExploratory
12,2008,두산,김현수,EX,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/764f.jpg,Speed,65,59,61,ExcludedVariant
