workbookRow,year,team,name,variant,snapshot,sourceUrl,reference,before,after,joinStatus
2,2008,SK,김광현,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,10,9,9,ExactYearTeamName
3,2008,SK,채병용,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,9,9,8,ExactYearTeamName
4,2008,SK,박재홍,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,9,10,10,ExactYearTeamName
5,2008,SK,최정,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,9,8,8,ExactYearTeamName
6,2008,SK,정근우,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,8,8,ExactYearTeamName
7,2008,SK,이진영,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,8,8,ExactYearTeamName
8,2009,SK,김광현,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,10,9,8,ExactYearTeamName
9,2009,SK,정근우,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,10,8,8,ExactYearTeamName
10,2009,SK,송은범,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,9,9,8,ExactYearTeamName
11,2009,SK,글로버,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,9,8,8,ExactYearTeamName
12,2009,SK,정대현,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,8,7,ExactYearTeamName
13,2009,SK,박재상,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,8,8,ExactYearTeamName
14,2009,SK,나주환,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,8,8,ExactYearTeamName
15,2010,두산,김선우,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,9,9,8,ExactYearTeamName
16,2010,두산,히메네스,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,9,9,8,ExactYearTeamName
17,2010,두산,이종욱,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,9,8,8,ExactYearTeamName
18,2010,두산,정재훈,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,8,8,ExactYearTeamName
19,2010,두산,김현수,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,10,10,ExactYearTeamName
20,2010,두산,최준석,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,8,8,ExactYearTeamName
21,2010,두산,이성열,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,8,8,ExactYearTeamName
22,2008,두산,김현수,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,10,10,10,ExactYearTeamName
23,2008,두산,김동주,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,9,8,8,ExactYearTeamName
24,2008,두산,김상현,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,,,Unresolved_NoForcedAlias
25,2008,두산,고영민,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,8,8,ExactYearTeamName
26,2008,두산,홍성흔,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,8,8,ExactYearTeamName
27,1994,LG,신철수,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,10,,,Unresolved_NoForcedAlias
28,1994,LG,김재현,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,10,10,10,ExactYearTeamName
29,1994,LG,정삼흠,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,9,9,9,ExactYearTeamName
30,1994,LG,유지현,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,9,,,Unresolved_NoForcedAlias
31,1994,LG,김태원,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,10,10,ExactYearTeamName
32,1994,LG,김용수,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,8,7,ExactYearTeamName
33,1994,LG,서용빈,일반/기사 문맥,2011,https://www.inven.co.kr/webzine/news/?news=86959,8,8,8,ExactYearTeamName
