id,expected,corpus,split,sourceUrl,year,team,name,playerType,before,after
SEASON_10641f3dabd0d1e2b603,4,Article2010,Holdout,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/43f.jpg,2005,롯데,강민호,Hitter,5,4
SEASON_7888492eff84816b6536,4,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/75f.jpg,2001,SK,강성우,Hitter,3,3
SEASON_bd079463f7c78f6cd3a2,4,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/91f.jpg,2000,한화,강인권,Hitter,4,4
SEASON_5e12023342af28383662,4,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/318f.jpg,2004,현대,김동수,Hitter,6,5
SEASON_13fdbe1dcbf4ecc5152b,4,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/415f.jpg,2000,해태,김상훈,Hitter,4,4
SEASON_b7414b6e709bb7d988e2,4,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/416f.jpg,2001,KIA,김상훈,Hitter,6,6
SEASON_3f2085f1be40a06d57d2,4,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/420f.jpg,2005,KIA,김상훈,Hitter,6,5
SEASON_2e59f0d1540b7137770e,4,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/603f.jpg,2000,LG,김정민,Hitter,4,4
SEASON_270520e968aea0a6ba34,4,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1611f.jpg,2001,SK,양용모,Hitter,4,4
SEASON_670e56ecf5761b13ca7e,4,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3562f.jpg,2009,두산,용덕한,Hitter,4,4
SEASON_bf8cce7a8b54640a896a,4,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/2863f.jpg,2004,롯데,최기문,Hitter,6,6
SEASON_188053b5b22597ec05a2,5,Article2010,Validation,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3263f.jpg,2009,히어로즈,강귀태,Hitter,5,5
SEASON_7b5f7138c7cc378f5dbf,5,Article2010,Holdout,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3265f.jpg,2009,롯데,강민호,Hitter,6,5
SEASON_3d0643a4ae24c331821b,5,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/92f.jpg,2001,한화,강인권,Hitter,5,4
SEASON_1eafc90c319a71329dc0,5,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/316f.jpg,2002,SK,김동수,Hitter,6,5
SEASON_b8c60fa39955452c8d89,5,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/319f.jpg,2005,현대,김동수,Hitter,5,5
SEASON_4a5060ae89f319baab44,5,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/417f.jpg,2002,KIA,김상훈,Hitter,6,5
SEASON_5663094db2c448825a5c,5,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/418f.jpg,2003,KIA,김상훈,Hitter,7,6
