year,team,split,name,kind,expected,sourceUrl,image,seasonId,status,beforeRole,beforePlacementError,beforeMembershipError,afterRole,afterPlacementError,afterMembershipError,hasSourcePositionEvidence
2008,SK,Review,정근우,Hitter,2B,https://www.inven.co.kr/webzine/news/?news=86959,(81)20101220011931126.jpg,SEASON_3b234c63e71564e83a38,Matched,StartingHitter:2B,0,0,StartingHitter:2B,0,0,True
2008,SK,Review,조동화,Hitter,OF,https://www.inven.co.kr/webzine/news/?news=86959,(81)20101220011931126.jpg,SEASON_7a24aab9a5925e3e4d05,Matched,StartingHitter:LF,0,0,BenchHitter:2,1,1,True
2008,SK,Review,최정,Hitter,3B,https://www.inven.co.kr/webzine/news/?news=86959,(81)20101220011931126.jpg,SEASON_2cc5688fc57b98c05093,Matched,StartingHitter:3B,0,0,StartingHitter:3B,0,0,True
2008,SK,Review,박재홍,Hitter,OF,https://www.inven.co.kr/webzine/news/?news=86959,(81)20101220011931126.jpg,SEASON_2d939ec0341a95e2732d,Matched,StartingHitter:RF,0,0,StartingHitter:RF,0,0,True
2008,SK,Review,김재현,Hitter,DH,https://www.inven.co.kr/webzine/news/?news=86959,(81)20101220011931126.jpg,,Unresolved_NoForcedAlias,,,,,,,False
2008,SK,Review,박정권,Hitter,1B,https://www.inven.co.kr/webzine/news/?news=86959,(81)20101220011931126.jpg,SEASON_c41f0d48a3b7dd00b0b9,Matched,ReserveHitter:21,1,1,BenchHitter:5,1,1,True
2008,SK,Review,박경완,Hitter,C,https://www.inven.co.kr/webzine/news/?news=86959,(81)20101220011931126.jpg,SEASON_754802dffe259597e690,Matched,StartingHitter:C,0,0,StartingHitter:C,0,0,True
2008,SK,Review,나주환,Hitter,SS,https://www.inven.co.kr/webzine/news/?news=86959,(81)20101220011931126.jpg,SEASON_1fd8abc337305f3d4d52,Matched,StartingHitter:SS,0,0,StartingHitter:SS,0,0,True
2008,SK,Review,이진영,Hitter,OF,https://www.inven.co.kr/webzine/news/?news=86959,(81)20101220011931126.jpg,SEASON_647c1feaa45e7a970650,Matched,StartingHitter:1B,1,0,StartingHitter:1B,1,0,True
2008,SK,Review,김광현,Starter,Starter,https://www.inven.co.kr/webzine/news/?news=86959,(81)20101220011931126.jpg,SEASON_a05d65e2545e720e9011,Matched,StartingPitcher:1,0,,StartingPitcher:1,0,,
2008,SK,Review,채병용,Starter,Starter,https://www.inven.co.kr/webzine/news/?news=86959,(81)20101220011931126.jpg,SEASON_0682b78e9d70b023e0d3,Matched,StartingPitcher:2,0,,StartingPitcher:2,0,,
2008,SK,Review,레이번,Starter,Starter,https://www.inven.co.kr/webzine/news/?news=86959,(81)20101220011931126.jpg,SEASON_69bb4776af0f09da4830,Matched,StartingPitcher:3,0,,StartingPitcher:3,0,,
2008,SK,Review,송은범,Starter,Starter,https://www.inven.co.kr/webzine/news/?news=86959,(81)20101220011931126.jpg,SEASON_034a585d661a8d4bacff,Matched,StartingPitcher:4,0,,StartingPitcher:4,0,,
2008,SK,Review,이영욱,Starter,Starter,https://www.inven.co.kr/webzine/news/?news=86959,(81)20101220011931126.jpg,SEASON_f0b2ddfb051bf890a019,Matched,StartingPitcher:5,0,,StartingPitcher:5,0,,
2008,SK,Review,김원형,Bullpen,Bullpen,https://www.inven.co.kr/webzine/news/?news=86959,(81)20101220011931126.jpg,SEASON_da0d135564debe44bedb,Matched,Bullpen1,0,,Bullpen1,0,,
