"ReferenceCardId","Year","PlayerName","CardType","DataVersion","PlayerSeasonId","ReferenceCost","PreviousReportCost","CurrentCost","Delta","YearSplit","TeamSplit","SourceUrl"
"PM_50e5248874896be7a92c","1994","가내영","Unknown","OriginalObserved2011","SEASON_936cd3129a0c83061951","5","5","5","0","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_bbbdba64ea7096a734ae","1994","권준헌","Unknown","OriginalObserved2011","SEASON_d9a2ae6365c8479dfb1a","5","4","4","-1","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_79b31947b810dd06dae8","1994","김경기","Unknown","OriginalObserved2011","SEASON_9d03205d7f1b529fae4a","8","8","8","0","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_1e42004ad248cf49772e","1994","김동기","Unknown","OriginalObserved2011","SEASON_7e40386868cc5ea2689b","7","8","8","1","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_9688b9c252cd8db3a973","1994","김용국","Unknown","OriginalObserved2011","SEASON_d6285ce9ef78ab64105d","5","5","5","0","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_b860f8c1ec7657a21899","1994","김인호","Unknown","OriginalObserved2011","SEASON_28b9066f0abc5b9201bd","6","6","6","0","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_e3ae453f2b1eb1586dee","1994","김홍집","Unknown","OriginalObserved2011","SEASON_2b1c99f3ce19e867a5e3","8","8","8","0","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_12c24f9861280642c161","1994","나성열","Unknown","OriginalObserved2011","SEASON_36ddd4a31bc54dc20c99","4","4","5","1","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_8dd1280c5bf757ac9664","1994","노승욱","Unknown","OriginalObserved2011","SEASON_152f84ac1ba566064ad5","5","6","5","0","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_de4b1c4d9641f41b812e","1994","박은진","Unknown","OriginalObserved2011","SEASON_47acc21730065cd7136a","6","7","7","1","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_e04aae2bf0aa66c45f24","1994","손차훈","Unknown","OriginalObserved2011","SEASON_01f0c399335a4f3d8bfd","5","5","5","0","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_aa701406e2dde731f371","1994","안병원","Unknown","OriginalObserved2011","SEASON_e88dcfb3bd5c00ae32e7","7","8","9","2","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_79b3a0eddc5641f592f4","1994","염경엽","Unknown","OriginalObserved2011","SEASON_161834e8b7d634ff1060","6","6","6","0","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_90234b4bfc748832e1fa","1994","윤덕규","Unknown","OriginalObserved2011","SEASON_47cd3fd0b7d4101c6505","8","8","8","0","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_215cc9be8ad11b99cd4b","1994","이희성","Unknown","OriginalObserved2011","SEASON_e06117671d9b6648cf7a","6","5","5","-1","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_26c90d233557b87d7253","1994","정명원","Unknown","OriginalObserved2011","SEASON_2e78c823987707897cfc","9","8","10","1","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_8875e25f278fb8671653","1994","정민태","Unknown","OriginalObserved2011","SEASON_8964c4bd69c0816f471a","7","9","9","2","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_47a27ceedce4b995e47d","1994","조웅천","Unknown","OriginalObserved2011","SEASON_4c2a4d066d12a3a72e9e","4","4","3","-1","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_7a67a928c826e84d31c5","1994","최상덕","Unknown","OriginalObserved2011","SEASON_2877baf359eb706ce0a8","8","9","9","1","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_8f935e47d6082e2f3961","1994","최창호","Unknown","OriginalObserved2011","SEASON_e9e4adaf6ea3be997570","7","8","8","1","Validation","Train","https://www.inven.co.kr/webzine/news/?news=86963"
"PM_3ac48ce04022ffa574e8","1995","강길용","Unknown","OriginalObserved2011","SEASON_c378a593d07e253b56f6","5","6","6","1","Train","Holdout","https://www.inven.co.kr/webzine/news/?news=86966"
"PM_d7dc1b7138a2df566347","1995","강병규","Unknown","OriginalObserved2011","SEASON_af5356ea9f8281e9e2a1","5","8","8","3","Train","Holdout","https://www.inven.co.kr/webzine/news/?news=86966"
"PM_0288737d076f38cb4885","1995","권명철","Unknown","OriginalObserved2011","SEASON_dd8a1f29eeef5124214f","9","9","9","0","Train","Holdout","https://www.inven.co.kr/webzine/news/?news=86966"
"PM_680f6f43e75349ee781c","1995","김경원","Unknown","OriginalObserved2011","SEASON_7fbd8a0585bf6bc85aec","6","8","8","2","Train","Holdout","https://www.inven.co.kr/webzine/news/?news=86966"
"PM_0f7504695afc9099c1e8","1995","김민호","Unknown","OriginalObserved2011","SEASON_3488bebf1bbb4e6d9938","6","7","8","2","Train","Holdout","https://www.inven.co.kr/webzine/news/?news=86966"
"PM_8a7dd508e9ea1f929002","1995","김상진","Unknown","OriginalObserved2011","SEASON_9e6631e2419a1f84616f","10","9","10","0","Train","Holdout","https://www.inven.co.kr/webzine/news/?news=86966"
"PM_cf4b3a48865cf4140c02","1995","김상호","Unknown","OriginalObserved2011","SEASON_c0d126bd2666f462335d","9","8","10","1","Train","Holdout","https://www.inven.co.kr/webzine/news/?news=86966"
"PM_8f9638f938b1abdbb246","1995","김종석","Unknown","OriginalObserved2011","SEASON_72804867f37c4a8051ef","7","8","8","1","Train","Holdout","https://www.inven.co.kr/webzine/news/?news=86966"
"PM_131bf1fb3b0adeabf36d","1995","김형석","Unknown","OriginalObserved2011","SEASON_4d4bf373d5a8997a52af","7","7","8","1","Train","Holdout","https://www.inven.co.kr/webzine/news/?news=86966"
"PM_0b075cf357ac71effb17","1995","박철순","Unknown","OriginalObserved2011","SEASON_05b34ac41537b5f939ed","6","8","7","1","Train","Holdout","https://www.inven.co.kr/webzine/news/?news=86966"
"PM_e1dc73020e62f4841048","1995","송재용","Unknown","OriginalObserved2011","SEASON_b31ebacad5528fa5316c","5","6","5","0","Train","Holdout","https://www.inven.co.kr/webzine/news/?news=86966"
"PM_0aebffe057920a0c0dbb","1995","심정수","Unknown","OriginalObserved2011","SEASON_123371a6393d40878660","8","8","8","0","Train","Holdout","https://www.inven.co.kr/webzine/news/?news=86966"
