"WorkbookRow","Year","TeamContext","PlayerName","Cost","SourceDate","SourceUrl","SameYearNameCandidates","SameArticleSameCostCandidates","SameArticleOtherCostCandidates","ReviewStatus"
"2","2008","SK","김광현","10","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"3","2008","SK","채병용","9","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"4","2008","SK","박재홍","9","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"5","2008","SK","최정","9","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"6","2008","SK","정근우","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"7","2008","SK","이진영","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"8","2009","SK","김광현","10","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"9","2009","SK","정근우","10","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"10","2009","SK","송은범","9","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"11","2009","SK","글로버","9","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"12","2009","SK","정대현","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"13","2009","SK","박재상","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"14","2009","SK","나주환","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"15","2010","두산","김선우","9","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"16","2010","두산","히메네스","9","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"17","2010","두산","이종욱","9","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"18","2010","두산","정재훈","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"19","2010","두산","김현수","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"20","2010","두산","최준석","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"21","2010","두산","이성열","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"22","2008","두산","김현수","10","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"23","2008","두산","김동주","9","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"24","2008","두산","김상현","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"25","2008","두산","고영민","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"26","2008","두산","홍성흔","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"27","1994","LG","신철수","10","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"28","1994","LG","김재현","10","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"29","1994","LG","정삼흠","9","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"30","1994","LG","유지현","9","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"31","1994","LG","김태원","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"32","1994","LG","김용수","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"33","1994","LG","서용빈","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"34","1994","LG","노찬엽","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"35","2007","LG","박용택","9","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"36","2007","LG","박명환","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"37","2008","넥센(기사 표기)","장원삼","9","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"38","2008","넥센(기사 표기)","마일영","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"39","2008","넥센(기사 표기)","다카쓰","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"40","2008","넥센(기사 표기)","송지만","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"41","2008","넥센(기사 표기)","이택근","8","2011","https://www.inven.co.kr/webzine/news/?news=86959","0","0","0","CandidateOnly_NoAutomaticMerge"
"42","2009","KIA","로페즈","10","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"43","2009","KIA","구톰슨","9","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"44","2009","KIA","김원섭","9","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"45","2009","KIA","윤석민","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"46","2009","KIA","양현종","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"47","2009","KIA","김상현","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"48","2003","KIA","김진우","9","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"49","2003","KIA","이종범","9","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"50","2003","KIA","장성호","9","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"51","2003","KIA","최상덕","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"52","2003","KIA","박재홍","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"53","2003","KIA","홍세완","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"54","2008","롯데","손민한","10","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"55","2008","롯데","조성환","10","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"56","2008","롯데","가르시아","9","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
