referenceCardId,year,name,team,variant,snapshot,sourceUrl,hasCostConflict,yearSplit,playerType,reference,before,after
PM_50e5248874896be7a92c,1994,가내영,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Pitcher,5,3,3
PM_bbbdba64ea7096a734ae,1994,권준헌,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Hitter,5,4,4
PM_79b31947b810dd06dae8,1994,김경기,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Hitter,8,8,8
PM_1e42004ad248cf49772e,1994,김동기,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Hitter,7,8,8
PM_9688b9c252cd8db3a973,1994,김용국,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Hitter,5,5,5
PM_b860f8c1ec7657a21899,1994,김인호,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Hitter,6,6,6
PM_e3ae453f2b1eb1586dee,1994,김홍집,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Pitcher,8,8,8
PM_12c24f9861280642c161,1994,나성열,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Pitcher,4,3,3
PM_8dd1280c5bf757ac9664,1994,노승욱,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Pitcher,5,4,4
PM_de4b1c4d9641f41b812e,1994,박은진,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Pitcher,6,6,6
PM_e04aae2bf0aa66c45f24,1994,손차훈,태평양,Unknown,OriginalObserved2011,https://www.inven.co.kr/webzine/news/?news=86963,False,Validation,Hitter,5,5,5
