workbookRow,year,team,name,variant,sourceUrl,attribute,reference,before,after,metricStatus
2,2008,SK,박재홍,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1109f.jpg,Contact,80,71,78,NormalExploratory
3,2008,SK,최정,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/2953f.jpg,Contact,81,75,81,NormalExploratory
6,2009,SK,정근우,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3704f.jpg,Contact,86,84,86,NormalExploratory
7,2009,SK,박재상,All Star,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/4214f.jpg,Contact,79,60,70,ExcludedVariant
8,2009,SK,나주환,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3398f.jpg,Contact,76,55,67,NormalExploratory
12,2008,두산,김현수,EX,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/764f.jpg,Contact,85,90,91,ExcludedVariant
13,2008,두산,김동주,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/333f.jpg,Contact,78,67,75,NormalExploratory
14,2008,두산,홍성흔,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3135f.jpg,Contact,81,76,81,NormalExploratory
18,2010,두산,이종욱,Normal,https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/4442f.jpg,Contact,84,67,75,NormalExploratory
19,2010,두산,최준석,Normal,https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/4458f.jpg,Contact,84,71,78,NormalExploratory
20,2010,두산,김현수,특수 아이콘(종류 미확정),https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/4406f.jpg,Contact,84,71,78,ExcludedVariant
24,1994,LG,김재현,특수 아이콘(종류 미확정),https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/9924f.jpg,Contact,79,63,73,ExcludedVariant
25,1994,LG,유지현,특수 아이콘(종류 미확정),https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/9939f.jpg,Contact,83,,,UnresolvedIdentity
26,1994,LG,서용빈,특수 아이콘(종류 미확정),https://img.inven.co.kr/image_2011/site_image/bm/dataninfo/playercard/9935f.jpg,Contact,84,75,80,ExcludedVariant
2,2008,SK,박재홍,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1109f.jpg,Power,77,85,87,NormalExploratory
3,2008,SK,최정,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/2953f.jpg,Power,70,69,77,NormalExploratory
6,2009,SK,정근우,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3704f.jpg,Power,68,54,67,NormalExploratory
7,2009,SK,박재상,All Star,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/4214f.jpg,Power,72,59,69,ExcludedVariant
8,2009,SK,나주환,Normal,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3398f.jpg,Power,71,55,67,NormalExploratory
